PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getContractDetails,SP1.1,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getContractInsuredObjectList,SP1.2,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getContractRiskPositionsFormatted,SP1.3,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getElectronicFileList,SP1.4,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getPolicyPaymentStatementList,SP1.5,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:getRiskObjectList,SP1.6,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:ping,SP1.7,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.pub:searchContracts,SP1.8,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callElektrAktLesen,SP1.9,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callPOSPersonResource,SP1.10,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callReadPositionszeilen,SP1.11,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callReadRiskoAdressen,SP1.12,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callReadVersicherteKFZ,SP1.13,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callVertragSearch,SP1.14,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.adapter:callVertrag_read,SP1.15,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkElektrAktLesenResponse,SP1.16,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkPerson_readPersonFinabest,SP1.17,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkReadPositionszeilenResponse,SP1.18,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkReadResponse,SP1.19,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkReadRiskoAdressenResponse,SP1.20,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkReadVersicherteKFZResponse,SP1.21,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.errorHandling:checkSearchResponse,SP1.22,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getContractDetails,SP1.23,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getContractInsuredObjectList,SP1.24,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getContractRiskPositionsFormatted,SP1.25,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getElectronicFileList,SP1.26,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getPolicyPaymentStatementList,SP1.27,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service:getRiskObjectList,SP1.28,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapGetContractDetailsRequestToRead,SP1.29,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapGetElectronicFileListRequestToElektrAktLesen,SP1.30,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapGetPolicyPaymentStatementListToPOSPersonResource,SP1.31,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapToReadPositionszeilen,SP1.32,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapToReadRiskoAdressen,SP1.33,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapToReadVersicherteKFZ,SP1.34,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:mapToVertragSearch,SP1.35,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToBackend:subMapDsmsParameters,SP1.36,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM.Berechtigung:addToBerechtigungslist,SP1.37,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM.Berechtigung:subMapBenutzerAuthorisierung,SP1.38,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM:mapPOSPersonResourceTogetPolicyPaymentStatementList,SP1.39,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM:mapToGetContractDetailsResponse,SP1.40,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM:mapToGetContractInsuredObjectListResponse,SP1.41,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM:mapToGetContractRiskPositionsFormattedResponse,SP1.42,true,"true",false,1
AcmeAtContractServiceV2,SP1,Stateless,uniqa.integration.contract.v2.service.mapToUIDM:mapToGetElectronicFileListResponse,SP1.43,true,"true",false,1
