PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config.Helper:resolveSystemProperties,SP1.1,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:deleteConfigEntry,SP1.2,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:deleteConfigEntryByDomain,SP1.3,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:geDebugLogPackageEntries,SP1.4,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigAllAsCSV,SP1.5,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigAllAsSQL,SP1.6,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigEntries,SP1.7,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigEntriesAsList,SP1.8,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigEntriesByDomain,SP1.9,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigEntry,SP1.10,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigEntryTree,SP1.11,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getConfigProcesses,SP1.12,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:getDebugLogGlobalEntries,SP1.13,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:initGlobal,SP1.14,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:insertConfigEntry,SP1.15,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:resetCaches,SP1.16,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Config:updateConfigEntry,SP1.17,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Connection:setConnectionState,SP1.18,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Database:createDBTables,SP1.19,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Database:executeDBScript,SP1.20,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:addDate,SP1.21,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:checkDate,SP1.22,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:checkTime,SP1.23,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:dateCompare,SP1.24,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:diffDate,SP1.25,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:getBusinessDay,SP1.26,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:getCurrentDate,SP1.27,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:getDayOfWeek,SP1.28,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:getLastDayOfMonth,SP1.29,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:getWeekOfYear,SP1.30,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:isLeapYear,SP1.31,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:parseDate,SP1.32,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:selectPublicHoliday,SP1.33,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:selectPublicHolidays,SP1.34,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.DateTime:setDate,SP1.35,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:appendDocumentLists,SP1.36,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:filterDocumentList,SP1.37,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:filterNullDocuments,SP1.38,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:getObject,SP1.39,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:getString,SP1.40,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:getSubArray,SP1.41,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:mapDynamic,SP1.42,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:mergeDocuments,SP1.43,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:pipelineToDoc,SP1.44,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:pivot,SP1.45,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:sortDocumentList,SP1.46,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:splitDocumentList,SP1.47,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:stringtableToDocumentList,SP1.48,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Document:trimDocument,SP1.49,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Environment:GetEnvConfig,SP1.50,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Environment:GetEnvironment,SP1.51,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Event.EventHandler:eventScheduledJob,SP1.52,true,"true",false,1
AcmeGlobal,SP1,Stateless,AcmeGlobal.Util.Event.EventHandler:handleEvent,SP1.53,true,"true",false,1
