PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:AddNewLine,SP1.1,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:AddToDate,SP1.2,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:Concat3Strings,SP1.3,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:ConcatWithSeparator,SP1.4,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:CreateMailMimeStream,SP1.5,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:DeleteRowFromStringTable,SP1.6,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:EscapeXMLCharacters,SP1.7,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:GetPackageConfigDir,SP1.8,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:GetUserDN,SP1.9,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:GetUserEmail,SP1.10,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:GetUserName,SP1.11,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:RemoveBOM,SP1.12,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub.Scheduler:alertOnExpiringCerts,SP1.13,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:SendEmail,SP1.14,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:SendEmailWithReplyTo,SP1.15,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:StringToLong,SP1.16,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:WriteToFile,SP1.17,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:createScanID,SP1.18,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:documentCopy,SP1.19,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:getFirstWorkingDay,SP1.20,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:initDate,SP1.21,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:initString,SP1.22,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:isHoliday,SP1.23,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:removeDuplicatesFromList,SP1.24,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:sendMailWithReply,SP1.25,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.Pub:skTextToUnicode,SP1.26,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.RS.security_.services:getCertificateInfo,SP1.27,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.RS.security_.services:getExpiringCertInfo,SP1.28,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:addCharacterToListEntries,SP1.29,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:addQuotesToListEntries,SP1.30,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:appendSlashToPath,SP1.31,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:ensureDirectory,SP1.32,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:getColumnSumFromTable,SP1.33,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:getDateStructure,SP1.34,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:getYesterday,SP1.35,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:isValueInDomain,SP1.36,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:lastCharacters,SP1.37,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.Util:sizeOfStringTable,SP1.38,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.calendar:getAustrianHolidays,SP1.39,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.calendar:getFirstWorkingDay,SP1.40,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.calendar:isCelebrationDay,SP1.41,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.config:GetLDAPProperties,SP1.42,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.config:checkPathValidity,SP1.43,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.config:getAllowedPathProperties,SP1.44,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.config:getMailServerConfig,SP1.45,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.config:reloadAllowedPathProperties,SP1.46,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:BuildDate,SP1.47,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:CalculateDateDifference,SP1.48,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:CalculateDateDifferenceNoWeekend,SP1.49,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:CompareDate,SP1.50,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:CompareDatesWithFormat,SP1.51,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDate,SP1.52,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateAsLong,SP1.53,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateAsString,SP1.54,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateFromStringWithPattern,SP1.55,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateInPast,SP1.56,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateMilliseconds,SP1.57,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetDateRange,SP1.58,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetFirstLastWeekDay,SP1.59,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetFormattedDateInPast,SP1.60,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:GetPreviousMonth,SP1.61,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:IncrementDateWithFormat,SP1.62,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:IsDate,SP1.63,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:TransformDate,SP1.64,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.date:isWeekEnd,SP1.65,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:addNewLineInFile,SP1.66,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:bytesToFile,SP1.67,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:closeFileReader,SP1.68,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:closeFileWriter,SP1.69,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:copyFile,SP1.70,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:createDMSPackage,SP1.71,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:createFolder,SP1.72,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:deleteFile,SP1.73,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:deleteFilesOlderThan,SP1.74,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:deleteFolder,SP1.75,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:deleteFolderRecursively,SP1.76,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getDocumentChecksum,SP1.77,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getFileSeparator,SP1.78,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getFileSize,SP1.79,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getLastModifiedDate,SP1.80,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getMimeTypeOfFile,SP1.81,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getMimeTypeOfFileWrapperToBeDeleted,SP1.82,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:getNumberOfLines,SP1.83,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:listDirectories,SP1.84,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:listFiles,SP1.85,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:listFilesOlderThan,SP1.86,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:moveFile,SP1.87,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:openFileReader,SP1.88,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:openFileWriter,SP1.89,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:readLineFromFileWithReader,SP1.90,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:renameFolder,SP1.91,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:streamToFile,SP1.92,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:writeStringListToFile,SP1.93,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:writeStringTableToFile,SP1.94,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.file:writeToFileWithWriter,SP1.95,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.fileSecurity:compressFilesToZIP,SP1.96,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.fileSecurity:decompressFilesFromZIP,SP1.97,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.hash:createHashtable,SP1.98,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.hash:get,SP1.99,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.hash:put,SP1.100,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.hash:testHashtable,SP1.101,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.init:createACLs,SP1.102,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.init:init,SP1.103,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.init:initACLs,SP1.104,false,"false",false,-1
AcmeSupport,SP1,Stateless,AcmeSupport.init:initGlobals,SP1.105,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.init:initScheduledServices,SP1.106,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.jms:createJMSConnectionAlias,SP1.107,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.jms:createJNDIAlias,SP1.108,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.jms:initJms,SP1.109,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.jms:jmsConnectionAliasExists,SP1.110,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.jms:jndiAliasExists,SP1.111,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.json:documentListToJSONString,SP1.112,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.list:Contains,SP1.113,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.list:FilterStringList,SP1.114,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.list:GetListsDifference,SP1.115,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.list:getItem,SP1.116,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.list:isStringInList,SP1.117,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:CompareDoubles,SP1.118,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:CompareFloats,SP1.119,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:CompareInts,SP1.120,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:IsNumeric,SP1.121,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:RoundNumber,SP1.122,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.math:TrimZeroes,SP1.123,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:DeFormatPolicyNr,SP1.124,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:GetHostInformation,SP1.125,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:IsSameProcessInstance,SP1.126,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:PolicyNrCheckSum,SP1.127,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:Println,SP1.128,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.misc:Sleep,SP1.129,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.network:isNetworkPortAvailable,SP1.130,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.properties:getSpecificSystemProperties,SP1.131,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.properties:getSystemProperties,SP1.132,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.properties:getSystemProperty,SP1.133,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.properties:readPropertiesFile,SP1.134,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.regex:Match,SP1.135,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.regex:MatchGroup,SP1.136,true,"true",false,1
AcmeSupport,SP1,Stateless,AcmeSupport.regex:Matches,SP1.137,true,"true",false,1
