PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.failure:mapLogRecord,SP1.1,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file:doLogRecord,SP1.2,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.init:shutdown,SP1.3,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.init:startup,SP1.4,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.log4j2:getLogConfigLocation,SP1.5,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.log4j2:initLogConfiguration,SP1.6,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.log4j2:logRecord,SP1.7,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.log4j2:shutdown,SP1.8,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file:mapLogRecord,SP1.9,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.ui:getLogConfig,SP1.10,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.file.ui:setLogConfig,SP1.11,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.logRecord:createLogRecord,SP1.12,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.server:debug,SP1.13,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.server:error,SP1.14,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.server:info,SP1.15,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.server:log,SP1.16,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.server:warn,SP1.17,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:getDuration,SP1.18,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:getThreadVariable,SP1.19,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:initRequestConsumerHandler,SP1.20,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:initRequestHandler,SP1.21,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:initResponseConsumerHandler,SP1.22,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:initResponseHandler,SP1.23,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:setMillisEntry,SP1.24,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.threadlocal:setThreadVariable,SP1.25,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.uem:doLogRecord,SP1.26,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.uem:mapLogRecord,SP1.27,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.uem:mapLogRecordSeverityToUemSeverity,SP1.28,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:appendCorrelationID,SP1.29,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getAuthUserID,SP1.30,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getCallStack,SP1.31,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getError,SP1.32,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getHttpHeaderValue,SP1.33,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getServerName,SP1.34,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:getTopLevelService,SP1.35,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:isBlank,SP1.36,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.impl.util:mapString,SP1.37,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:log,SP1.38,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logEntry,SP1.39,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logError,SP1.40,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logExit,SP1.41,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logFatal,SP1.42,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logInfo,SP1.43,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.all:logWarn,SP1.44,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.common:setDomain,SP1.45,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.common:setTrackingId,SP1.46,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:log,SP1.47,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logDebug,SP1.48,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logEntry,SP1.49,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logError,SP1.50,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logExit,SP1.51,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logFatal,SP1.52,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logInfo,SP1.53,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logTrace,SP1.54,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.file:logWarn,SP1.55,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.flow:getCallingServicePackageName,SP1.56,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.flow:getCallingServiceParentService,SP1.57,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:log,SP1.58,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logEntry,SP1.59,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logError,SP1.60,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logExit,SP1.61,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logFatal,SP1.62,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logInfo,SP1.63,true,"true",false,1
DemoProjectLogging,SP1,Stateless,DemoProject.logging.pub.uem:logWarn,SP1.64,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.failure:mapLogRecord,SP2.1,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file:doLogRecord,SP2.2,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.init:shutdown,SP2.3,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.init:startup,SP2.4,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.log4j2:getLogConfigLocation,SP2.5,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.log4j2:initLogConfiguration,SP2.6,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.log4j2:logRecord,SP2.7,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.log4j2:shutdown,SP2.8,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file:mapLogRecord,SP2.9,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.ui:getLogConfig,SP2.10,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.file.ui:setLogConfig,SP2.11,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.logRecord:createLogRecord,SP2.12,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.server:debug,SP2.13,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.server:error,SP2.14,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.server:info,SP2.15,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.server:log,SP2.16,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.server:warn,SP2.17,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:getDuration,SP2.18,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:getThreadVariable,SP2.19,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:initRequestConsumerHandler,SP2.20,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:initRequestHandler,SP2.21,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:initResponseConsumerHandler,SP2.22,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:initResponseHandler,SP2.23,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:setMillisEntry,SP2.24,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.threadlocal:setThreadVariable,SP2.25,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.uem:doLogRecord,SP2.26,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.uem:mapLogRecord,SP2.27,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.uem:mapLogRecordSeverityToUemSeverity,SP2.28,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:appendCorrelationID,SP2.29,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getAuthUserID,SP2.30,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getCallStack,SP2.31,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getError,SP2.32,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getHttpHeaderValue,SP2.33,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getServerName,SP2.34,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:getTopLevelService,SP2.35,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:isBlank,SP2.36,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.impl.util:mapString,SP2.37,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:log,SP2.38,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:logEntry,SP2.39,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:logError,SP2.40,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:logExit,SP2.41,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:logFatal,SP2.42,true,"true",false,1
DemoProjectLogging,SP2,Pipeline Save Restore,DemoProject.logging.pub.all:logInfo,SP2.43,true,"true",false,1
