PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:AddNewLine,SP1.1,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:AddToDate,SP1.2,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:Concat3Strings,SP1.3,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:ConcatWithSeparator,SP1.4,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:CreateMailMimeStream,SP1.5,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:DeleteRowFromStringTable,SP1.6,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:EscapeXMLCharacters,SP1.7,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:GetPackageConfigDir,SP1.8,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:GetUserDN,SP1.9,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:GetUserEmail,SP1.10,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:GetUserName,SP1.11,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:RemoveBOM,SP1.12,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub.Scheduler:alertOnExpiringCerts,SP1.13,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:SendEmail,SP1.14,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:SendEmailWithReplyTo,SP1.15,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:StringToLong,SP1.16,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:WriteToFile,SP1.17,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:createScanID,SP1.18,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:documentCopy,SP1.19,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:getFirstWorkingDay,SP1.20,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:initDate,SP1.21,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:initString,SP1.22,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:isHoliday,SP1.23,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:removeDuplicatesFromList,SP1.24,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:sendMailWithReply,SP1.25,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Pub:skTextToUnicode,SP1.26,false,"false",false,-1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.RS.security_.services:getCertificateInfo,SP1.27,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.RS.security_.services:getExpiringCertInfo,SP1.28,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:addCharacterToListEntries,SP1.29,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:addQuotesToListEntries,SP1.30,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:appendSlashToPath,SP1.31,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:ensureDirectory,SP1.32,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:getColumnSumFromTable,SP1.33,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:getDateStructure,SP1.34,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:getYesterday,SP1.35,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:isValueInDomain,SP1.36,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:lastCharacters,SP1.37,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.Util:sizeOfStringTable,SP1.38,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.calendar:getAustrianHolidays,SP1.39,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.calendar:getFirstWorkingDay,SP1.40,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.calendar:isCelebrationDay,SP1.41,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.config:GetLDAPProperties,SP1.42,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.config:checkPathValidity,SP1.43,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.config:getAllowedPathProperties,SP1.44,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.config:getMailServerConfig,SP1.45,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.config:reloadAllowedPathProperties,SP1.46,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:BuildDate,SP1.47,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:CalculateDateDifference,SP1.48,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:CalculateDateDifferenceNoWeekend,SP1.49,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:CompareDate,SP1.50,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:CompareDatesWithFormat,SP1.51,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDate,SP1.52,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateAsLong,SP1.53,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateAsString,SP1.54,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateFromStringWithPattern,SP1.55,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateInPast,SP1.56,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateMilliseconds,SP1.57,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetDateRange,SP1.58,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetFirstLastWeekDay,SP1.59,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetFormattedDateInPast,SP1.60,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:GetPreviousMonth,SP1.61,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:IncrementDateWithFormat,SP1.62,true,"true",false,1
DemoProjectSupport,SP1,Stateless,DemoProjectSupport.date:IsDate,SP1.63,true,"true",false,1
