PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,UniqaDoWfStartService.v1.documentWorkflow:_post,SP1.1,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,UniqaDoWfStartService.v1.ping:_get,SP1.2,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.pub:getPing,SP1.3,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.pub:postDocumentWorkflow,SP1.4,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.rs:callDocumentWorkflow,SP1.5,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.adapter:callStartDocumentWorkflowData,SP1.6,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.errorHandling:checkCallStartDocumentWorkflowData,SP1.7,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.mapIDMToUniqaWFWSService:extractFileNameExtension,SP1.8,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.mapIDMToUniqaWFWSService:streamToStartDocumentWorkflowData,SP1.9,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.mapIDMToUniqaWFWSService:streamToStartDocumentWorkflowRequest,SP1.10,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.mapUniqaWFWSServiceToIDM:mapToDocumentWorkflow,SP1.11,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service:postDocumentWorkflow,SP1.12,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.service.validation:validatePostDocumentWorkflowRestInput,SP1.13,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.shutdown:deinit,SP1.14,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.shutdown:unregisterWebservice,SP1.15,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.startup:init,SP1.16,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.startup:initACLs,SP1.17,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.startup:registerWebservice,SP1.18,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.util.config:getConfiguration,SP1.19,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.ws.consumer.UniqaDocumentWFWS_.connectors:StartDocumentWorkflow_PortType_startDocumentWorkflow,SP1.20,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.ws.consumer.UniqaDocumentWFWS_.responseServices:StartDocumentWorkflow_PortType_startDocumentWorkflow_Response,SP1.21,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP1,Stateless,uniqa.integration.bpms.start.dowf.v1.ws.consumer.UniqaDocumentWFWS_.responseServices:genericFault_Response,SP1.22,true,"true",false,1
UniqaAtBpmsStartServiceDoWF,SP2,Pipeline Save Restore,UniqaDoWfStartService.v1.documentWorkflow:_post,SP2.1,true,"true",false,1
