PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
UniqaAtBpmsStartServiceEBF,SP1,Stateless,UniqaEbfStartService.v1.ebfprocess:_post,SP1.1,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,UniqaEbfStartService.v1.ping:_get,SP1.2,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.pub:getPing,SP1.3,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.pub:postEbfprocess,SP1.4,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.rs:callPostEbfprocess,SP1.5,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.service.adapter:callStartEBFProcessResponse,SP1.6,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.service.errorHandling:checkStartEBFProcessResponse,SP1.7,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.service.mapIDMToUniqaEBFService:mapEbfprocessRestRequestToUniqaEBFService,SP1.8,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.service.mapUniqaEBFServiceToIDM:mapStartEBFProcessResponse,SP1.9,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.service:postEbfprocess,SP1.10,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.shutdown:deinit,SP1.11,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.shutdown:unregisterWebservices,SP1.12,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.startup:init,SP1.13,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.startup:initACLs,SP1.14,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.startup:registerWebservices,SP1.15,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.util.config:getConfiguration,SP1.16,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.connectors:startEBFProcess_PortType_StartEBFProcess,SP1.17,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.responseServices:genericFault_Response,SP1.18,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP1,Stateless,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.responseServices:startEBFProcess_PortType_StartEBFProcess_Response,SP1.19,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,UniqaEbfStartService.v1.ebfprocess:_post,SP2.1,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,UniqaEbfStartService.v1.ping:_get,SP2.2,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.pub:getPing,SP2.3,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.pub:postEbfprocess,SP2.4,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.rs:callPostEbfprocess,SP2.5,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.service.adapter:callStartEBFProcessResponse,SP2.6,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.service.errorHandling:checkStartEBFProcessResponse,SP2.7,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.service.mapIDMToUniqaEBFService:mapEbfprocessRestRequestToUniqaEBFService,SP2.8,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.service.mapUniqaEBFServiceToIDM:mapStartEBFProcessResponse,SP2.9,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.service:postEbfprocess,SP2.10,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.shutdown:deinit,SP2.11,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.shutdown:unregisterWebservices,SP2.12,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.startup:init,SP2.13,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.startup:initACLs,SP2.14,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.startup:registerWebservices,SP2.15,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.util.config:getConfiguration,SP2.16,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.connectors:startEBFProcess_PortType_StartEBFProcess,SP2.17,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.responseServices:genericFault_Response,SP2.18,true,"true",false,1
UniqaAtBpmsStartServiceEBF,SP2,Pipeline Save Restore,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.responseServices:startEBFProcess_PortType_StartEBFProcess_Response,SP2.19,true,"true",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,UniqaEbfStartService.v1.ebfprocess:_post,FQ1.1,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,UniqaEbfStartService.v1.ping:_get,FQ1.2,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.pub:getPing,FQ1.3,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.pub:postEbfprocess,FQ1.4,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.rs:callPostEbfprocess,FQ1.5,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.service.adapter:callStartEBFProcessResponse,FQ1.6,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.service.errorHandling:checkStartEBFProcessResponse,FQ1.7,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.service.mapIDMToUniqaEBFService:mapEbfprocessRestRequestToUniqaEBFService,FQ1.8,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.service.mapUniqaEBFServiceToIDM:mapStartEBFProcessResponse,FQ1.9,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.service:postEbfprocess,FQ1.10,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.shutdown:deinit,FQ1.11,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.shutdown:unregisterWebservices,FQ1.12,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.startup:init,FQ1.13,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.startup:initACLs,FQ1.14,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.startup:registerWebservices,FQ1.15,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.util.config:getConfiguration,FQ1.16,true,"No matching services",false,1
UniqaAtBpmsStartServiceEBF,FQ1,Pipeline Services,uniqa.integration.bpms.start.v1.ws.consumer.UniqaEBFUniqaEBFService_.connectors:startEBFProcess_PortType_StartEBFProcess,FQ1.17,true,"No matching services",false,1
