PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.pub:getFundRate,SP1.1,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.pub:ping,SP1.2,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service.adapter:callSoInfoFundRateGetByTypeAndFundIdentifier,SP1.3,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service.errorHandling:checkSoInfoFundRateGetByTypeAndFundIdentifierResponse,SP1.4,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service.errorHandling:checkValidationErrorsGetFundRate,SP1.5,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service:getFundRate,SP1.6,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service.mapToBackend:mapGetFundRateRequest,SP1.7,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.service.mapToUIDM:mapToGetSoInfoFundRateGetByTypeAndFundIdentifierResponse,SP1.8,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.shutdown:deinit,SP1.9,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.shutdown:unregisterWebservices,SP1.10,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.startup:init,SP1.11,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.startup:initACLs,SP1.12,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.startup:registerWebservices,SP1.13,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.util.config:getConfiguration,SP1.14,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoConsumerPriceIndexFactorGetByYears,SP1.15,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoConsumerPriceIndexGet,SP1.16,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoDayIntervalTradingOpenGet,SP1.17,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoDayIntervalTradingStatusGet,SP1.18,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoDayTradingStatusGet,SP1.19,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoExchangeRateCurrencyPairGetAll,SP1.20,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoExchangeRateGetByTimeInterval,SP1.21,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoExchangeRateGetByType,SP1.22,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoExchangeRateGetByTypeNextToDate,SP1.23,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundActionGetByType,SP1.24,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundActionGetByTypeTimeInterval,SP1.25,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundAllocationGet,SP1.26,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundAllocationGetByTimeInterval,SP1.27,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundGetDetails,SP1.28,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetByType,SP1.29,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetByTypeAndFundIdentifier,SP1.30,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetByTypeAndFundIdentifierAndCurrency,SP1.31,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetByTypeNextToDate,SP1.32,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetByTypeTimeInterval,SP1.33,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundRateGetLatest,SP1.34,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoFundSearch,SP1.35,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoIndexRateGetByType,SP1.36,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoIndexSearch,SP1.37,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoMarketDataGetLatest,SP1.38,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoMarketDataGetList,SP1.39,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoMarketDataSearch,SP1.40,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoMarketPlaceGet,SP1.41,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoMarketPlaceSearch,SP1.42,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoPortfolioActionGetByTypeTimeInterval,SP1.43,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.connectors:financialDataInfoServiceWS_soInfoPortfolioSearch,SP1.44,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoConsumerPriceIndexFactorGetByYears_Response,SP1.45,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoConsumerPriceIndexGet_Response,SP1.46,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoDayIntervalTradingOpenGet_Response,SP1.47,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoDayIntervalTradingStatusGet_Response,SP1.48,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoDayTradingStatusGet_Response,SP1.49,true,"true",false,1
UniqaAtFundManagementServiceV1,SP1,Stateless,uniqa.integration.fund.management.service.v1.ws.consumer.FinancialDataInfoService_.responseServices:financialDataInfoServiceWS_soInfoExchangeRateCurrencyPairGetAll_Response,SP1.50,true,"true",false,1
